ID,Title,Directed by,Produced by,Cinematography,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Production companies,Release Year,SentimentScore,Budget (float),Box Office Status
542,Flight,Robert Zemeckis,"['Walter F. Parkes', 'Laurie MacDonald', 'Steve Starkey', 'Robert Zemeckis', 'Jack Rapke']",Don Burgess,138.0,2012-10-14,Paramount Pictures,English,John Gatins,"['Denzel Washington', 'Don Cheadle', 'Kelly Reilly', 'John Goodman', 'Bruce Greenwood', 'Melissa Leo']",Jeremiah O'Driscoll,"['Parkes + McDonald Image Nation', 'ImageMovers']",2012,0.81,31000000.0,Success
543,The Man with the Iron Fists,RZA,"['Eli Roth', 'Marc Abraham', 'Eric Newman', 'Thomas A. Bliss']",Chi Ying Chan,96.0,2012-11-02,Universal Pictures,English,"['The RZA', 'Eli Roth']","['Russell Crowe', 'Cung Le', 'Lucy Liu', 'Byron Mann', 'RZA', 'Rick Yune', 'David Bautista', 'Jamie Chung']",Joe D'Augustine,"['Strike Entertainment', 'Arcade Pictures']",2012,0.4745762711864407,15000000.0,Failure
545,The Bay,Barry Levinson,"['Barry Levinson', 'Jason Blum', 'Steven Schneider', 'Oren Peli']",Josh Nussbaum,85.0,2012-09-13,"['Lionsgate', 'Roadside Attractions']",English,Michael Wallach,"['Will Rogers', 'Kristen Connolly', 'Kether Donohue', 'Frank Deal', 'Stephen Nunken', 'Christopher Denham', 'Nansi Aluka']",Aaron Yanes,"['Baltimore Pictures', 'Haunted Movies', 'Alliance Films', 'IM Global', 'Hydraulx Entertainment', 'Automatik Entertainment']",2012,0.63,2000000.0,Failure
546,This Must Be the Place,Paolo Sorrentino,"['Francesca Cima', 'Nicola Giuliano', 'Andrea Occhipinti']",Luca Bigazzi,118.0,2011-05-20,Element Pictures,English,"['Paolo Sorrentino', 'Umberto Contarello']","['Sean Penn', 'Frances McDormand']",Cristiano Travaglioli,"['Lucky Red', 'Medusa Film', 'Indigo Film', 'Eurimages', 'Pathé']",2011,0.4189189189189189,28000000.0,Failure
548,The Twilight Saga: Breaking Dawn – Part 2,Bill Condon,"['Wyck Godfrey', 'Karen Rosenfelt', 'Stephenie Meyer']",Guillermo Navarro,115.0,2012-11-12,Summit Entertainment,English,Melissa Rosenberg,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Kellan Lutz', 'Nikki Reed', 'Jackson Rathbone', 'Ashley Greene', 'Michael Sheen', 'Dakota Fanning']","['Virginia Katz', 'Ian Slater']","['Temple Hill Entertainment', 'Sunswept Entertainment']",2012,0.76,136000000.0,Success
549,Lincoln,Steven Spielberg,"['Steven Spielberg', 'Kathleen Kennedy']",Janusz Kamiński,150.0,2012-10-08,"['Walt Disney Studios Motion Pictures (Canada/United States)', '20th Century Fox (International)']",English,Tony Kushner,"['Daniel Day-Lewis', 'Sally Field', 'David Strathairn', 'Joseph Gordon-Levitt', 'James Spader', 'Hal Holbrook', 'Tommy Lee Jones']",Michael Kahn,"['DreamWorks Pictures', 'Participant', 'Reliance Entertainment', 'Dune Entertainment', 'Amblin Entertainment', 'The Kennedy/Marshall Company']",2012,0.75,65000000.0,Success
550,Silver Linings Playbook,David O. Russell,"['Donna Gigliotti', 'Bruce Cohen', 'Jonathan Gordon']",Masanobu Takayanagi,122.0,2012-09-08,The Weinstein Company,English,David O. Russell,"['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro', 'Jacki Weaver', 'Anupam Kher', 'Chris Tucker']","['Jay Cassidy', 'Crispin Struthers']",The Weinstein Company,2012,0.81,21000000.0,Success
551,Life of Pi,Ang Lee,"['Gil Netter', 'Ang Lee', 'David Womark']",Claudio Miranda,127.0,2012-09-28,20th Century Fox,English,David Magee,"['Suraj Sharma', 'Irrfan Khan', 'Tabu', 'Rafe Spall', 'Gérard Depardieu']",Tim Squyres,"['Fox 2000 Pictures', 'Dune Entertainment', 'Ingenious Media', 'Haishang Films']",2012,0.77,120000000.0,Success
552,Red Dawn,Dan Bradley,"['Beau Flynn', 'Tripp Vinson']",Mitchell Amundsen,93.0,2012-09-27,"['FilmDistrict', ' (United States)', 'FilmNation Entertainment', ' (International)']",English,"['Carl Ellsworth', 'Jeremy Passmore']","['Chris Hemsworth', 'Josh Peck', 'Josh Hutcherson', 'Adrianne Palicki', 'Isabel Lucas', 'Connor Cruise', 'Jeffrey Dean Morgan']",Richard Pearson,Contrafilm,2012,0.5609756097560976,65000000.0,Failure
554,Hitchcock,Sacha Gervasi,"['Ivan Reitman', 'Tom Pollock', 'Joe Medjuck', 'Tom Thayer', 'Alan Barnette']",Jeff Cronenweth,98.0,2012-11-01,Fox Searchlight Pictures,English,John J. McLaughlin,"['Anthony Hopkins', 'Helen Mirren', 'Scarlett Johansson', 'Toni Collette', 'Danny Huston', 'Jessica Biel', ""James D'Arcy"", 'Michael Wincott']",Pamela Martin,"['The Montecito Picture Company', 'Cold Spring Pictures']",2012,0.7241379310344828,15000000.0,Failure
555,The Collection,Marcus Dunstan,"['Brett Forbes', 'Julie Richardson', 'Patrick Rizzotti', 'Mickey Liddell']",Sam McCurdy,82.0,2012-09-21,LD Entertainment,English,"['Patrick Melton', 'Marcus Dunstan']","['Josh Stewart', 'Emma Fitzpatrick', 'Lee Tergesen', 'Christopher McDonald']","['Mark Stevens', 'Kevin Greutert']","['Fortress Features', 'LD Entertainment']",2012,0.68,10000000.0,Failure
556,Killing Them Softly,Andrew Dominik,"['Brad Pitt', 'Dede Gardner', 'Steve Schwartz', 'Paula Mae Schwartz', 'Anthony Katagas']",Greig Fraser,97.0,2012-05-22,"['The Weinstein Company (North America)', 'Inferno Distribution (International)']",English,Andrew Dominik,"['Brad Pitt', 'Scoot McNairy', 'Ben Mendelsohn', 'Richard Jenkins', 'James Gandolfini', 'Ray Liotta', 'Sam Shepard']",Brian A. Kates,"['Inferno Entertainment', 'Annapurna Pictures', 'Plan B Entertainment', 'Chockstone Pictures', '1984 Private Defense Contractors', 'Metropolitan Films', 'Cogans Film Holdings, LLC']",2012,0.5263157894736842,15000000.0,Success
557,Playing for Keeps,Gabriele Muccino,"['Gerard Butler', 'Kevin Misher', 'Jonathan Mostow', 'Alan Siegel', 'John Thompson', 'Tim Ubels']",Peter Menzies Jr.,106.0,2012-12-07,FilmDistrict,English,Robbie Fox,"['Gerard Butler', 'Jessica Biel', 'Uma Thurman', 'Catherine Zeta-Jones', 'Dennis Quaid', 'Judy Greer', 'James Tupper', 'Aiden Potter', 'Noah Lomax']",Padraic McKinley,"['Nu Image', ' ', 'Misher Films', ' ', 'Millennium Films']",2012,0.69,35000000.0,Failure
558,Deadfall,Stefan Ruzowitzky,"['Gary Levinsohn', 'Shelly Clippard', 'Ben Cosgrove', 'Todd Wagner']",Shane Hurlbut,94.0,2012-04-22,"['Magnolia Pictures', 'StudioCanal', '2929 Productions']",English,Zach Dean,"['Eric Bana', 'Olivia Wilde', 'Charlie Hunnam', 'Kate Mara', 'Treat Williams', 'Kris Kristofferson', 'Sissy Spacek']","['Arthur Tarnowski', 'Dan Zimmerman']",Mutual Film Company,2012,0.5176470588235295,12000000.0,Failure
559,Lay the Favorite,Stephen Frears,"['Randall Emmett', 'George Furla', 'Paul Trijbits']",Michael McDonough,94.0,2012-01-21,Radius-TWC,English,D.V. DeVincentis,"['Bruce Willis', 'Rebecca Hall', 'Catherine Zeta-Jones', 'Joshua Jackson']",Mick Audsley,"['Wild Bunch', 'Emmett/Furla Films', 'Likely Story', 'Random House Films', 'Ruby Films', 'Jackson Investment Group', 'Lipsync Productions']",2012,0.3636363636363636,14700000.0,Failure
560,The Hobbit: An Unexpected Journey,Peter Jackson,"['Carolynne Cunningham', 'Zane Weiner', 'Fran Walsh', 'Peter Jackson']",Andrew Lesnie,169.0,2012-11-28,Warner Bros. Pictures,English,"['Fran Walsh', 'Philippa Boyens', 'Peter Jackson', 'Guillermo del Toro']","['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'James Nesbitt', 'Ken Stott', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Elijah Wood', 'Andy Serkis']",Jabez Olssen,"['New Line Cinema', 'Metro-Goldwyn-Mayer Pictures', 'WingNut Films']",2012,0.87,200000000.0,Success
561,The Guilt Trip,Anne Fletcher,"['Lorne Michaels', 'John Goldwyn', 'Evan Goldberg']",Oliver Stapleton,95.0,2012-12-19,Paramount Pictures,English,Dan Fogelman,"['Barbra Streisand', 'Seth Rogen']","['Dana E. Glauberman', 'Priscilla Nedd-Friendly']","['Michaels/Goldwyn', 'Skydance Productions']",2012,0.6363636363636364,40000000.0,Failure
563,Cirque du Soleil: Worlds Away,Andrew Adamson,"['Martin Bolduc', 'Andrew Adamson', 'Aron Warner']",Brett Turnbull,91.0,2012-10-20,Paramount Pictures,English,Andrew Adamson,"['Erica Linz', 'Igor Zaripov', 'Lutz Halbhubner', 'John Clarke', 'Dallas Barnett']","['Sim Evan-Jones', 'Dirk Westervelt']","['Cirque du Soleil', 'Reel FX Creative Studios', 'Strange Weather Films', 'Cameron/Pace Group']",2012,0.9230769230769232,25000000.0,Failure
564,Jack Reacher,Christopher McQuarrie,"['Tom Cruise', 'Don Granger', 'Paula Wagner', 'Gary Levinsohn']",Caleb Deschanel,130.0,2012-12-10,Paramount Pictures,English,Christopher McQuarrie,"['Tom Cruise', 'Rosamund Pike', 'Richard Jenkins', 'Werner Herzog', 'David Oyelowo', 'Robert Duvall']",Kevin Stitt,"['Skydance Productions', 'TC Productions']",2012,0.86,60000000.0,Success
565,This Is 40,Judd Apatow,"['Judd Apatow', 'Barry Mendel', 'Clayton Townsend']",Phedon Papamichael,133.0,2012-12-21,Universal Pictures,English,Judd Apatow,"['Paul Rudd', 'Leslie Mann', 'John Lithgow', 'Megan Fox', 'Albert Brooks']","['Brent White', 'Jay Deuby', 'David Bertman']",Apatow Productions,2012,0.69,35000000.0,Success
566,The Impossible,J. A. Bayona,"['Álvaro Augustin', 'Belén Atienza', 'Enrique López Lavigne']",Óscar Faura,113.0,2012-09-09,Warner Bros. Entertainment España,English,Sergio G. Sánchez,"['Naomi Watts', 'Ewan McGregor', 'Tom Holland']","['Elena Ruiz', 'Bernat Vilaplana']","['Apaches Entertainment', 'Telecinco Cinema']",2012,0.64,45000000.0,Success
567,Not Fade Away,David Chase,"['Mark Johnson', 'David Chase']",Eigil Bryld,112.0,2012-10-06,Paramount Pictures,English,David Chase,"['James Gandolfini', 'John Magaro', 'Jack Huston', 'Bella Heathcote']",Sidney Wolinsky,"['Paramount Vantage', 'Indian Paintbrush', 'The Weinstein Company', 'Gran Via Productions', 'Chase Films']",2012,0.4814814814814814,20000000.0,Failure
568,Django Unchained,Quentin Tarantino,"['Stacey Sher', 'Reginald Hudlin', 'Pilar Savone']",Robert Richardson,165.0,2012-12-11,"['The Weinstein Company (United States)', 'Columbia Pictures (International; through Sony Pictures Releasing )']",English,Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington', 'Samuel L. Jackson', 'Walton Goggins', 'Dennis Christopher', 'James Remar', 'Michael Parks', 'Don Johnson']",Fred Raskin,"['A Band Apart', 'Columbia Pictures']",2012,0.78,100000000.0,Success
569,Les Misérables,Tom Hooper,"['Tim Bevan', 'Eric Fellner', 'Debra Hayward', 'Cameron Mackintosh']",Danny Cohen,158.0,2012-12-05,Universal Pictures,English,"['William Nicholson', 'Alain Boublil', 'Claude-Michel Schönberg', 'Herbert Kretzmer']","['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway', 'Amanda Seyfried', 'Eddie Redmayne', 'Helena Bonham Carter', 'Sacha Baron Cohen']","['Melanie Oliver', 'Chris Dickens']","['Relativity Media', 'Working Title Films', 'Camack International']",2012,0.82,61000000.0,Success
570,Parental Guidance,Andy Fickman,"['Billy Crystal', 'Peter Chernin', 'Dylan Clark']",Dean Semler,105.0,2012-12-25,20th Century Fox,English,"['Lisa Addario', 'Joe Syracuse']","['Billy Crystal', 'Bette Midler', 'Marisa Tomei', 'Tom Everett Scott', 'Bailee Madison']",Kent Beyda,"['Walden Media', 'Chernin Entertainment', 'Face Productions', 'Dune Entertainment']",2012,0.6105263157894737,25000000.0,Success
571,Quartet,Dustin Hoffman,"['Stewart Mackinnon', 'Finola Dwyer']",John de Borman,98.0,2012-09-09,Momentum Pictures,English,Ronald Harwood,"['Maggie Smith', 'Tom Courtenay', 'Billy Connolly', 'Pauline Collins', 'Michael Gambon']",Barney Pilling,"['DCM Productions', 'Headline Pictures', 'Finola Dwyer Productions', 'BBC Films']",2012,0.79,11000000.0,Success
572,Promised Land,Gus Van Sant,"['Chris Moore', 'Matt Damon', 'John Krasinski']",Linus Sandgren,106.0,2012-12-04,Focus Features,English,"['John Krasinski', 'Matt Damon']","['Matt Damon', 'John Krasinski', 'Frances McDormand', 'Rosemarie DeWitt', 'Hal Holbrook']",Billy Rich,"['Participant Media', 'Image Nation Abu Dhabi', 'Pearl Street Films', 'Sunday Night Productions']",2012,0.5441176470588235,15000000.0,Failure
573,Texas Chainsaw 3D,John Luessenhop,Carl Mazzocone,Anastas N. Michos,92.0,2013-01-04,Lionsgate,English,"['Adam Marcus', 'Debra Sullivan', 'Kirsten Elms']","['Alexandra Daddario', 'Dan Yeager', 'Tremaine ""Trey Songz"" Neverson', 'Tania Raymonde', 'Thom Barry', 'Paul Rae', 'Bill Moseley', 'Gunnar Hansen']",Randy Bricker,"['Millennium Films', 'Main Line Pictures']",2013,0.53,20000000.0,Success
574,Gangster Squad,Ruben Fleischer,"['Dan Lin', 'Kevin McCormick', 'Michael Tadross']",Dion Beebe,113.0,2013-01-07,Warner Bros. Pictures,English,Will Beall,"['Josh Brolin', 'Ryan Gosling', 'Sean Penn', 'Nick Nolte', 'Emma Stone', 'Anthony Mackie', 'Giovanni Ribisi', 'Michael Peña']","['Alan Baumgarten', 'James Herbert']","['Village Roadshow Pictures', 'Lin Pictures', 'Kevin McCormick Productions']",2013,0.69,60000000.0,Failure
575,A Haunted House,Michael Tiddes,"['Marlon Wayans', 'Rick Alvarez']",Steve Gainer,86.0,2013-01-11,Open Road Films,English,"['Marlon Wayans', 'Rick Alvarez']","['Marlon Wayans', 'Essence Atkins', 'Cedric the Entertainer', 'Nick Swardson', 'David Koechner', 'Dave Sheridan']",Suzanne Hines,"['IM Global', 'Baby Way Productions', 'Endgame Releasing', 'Automatik']",2013,0.6,2500000.0,Success
576,Struck by Lightning,Brian Dannelly,"['David Permut', 'Mia Chang', 'Rob Aguire', 'Chris Colfer']",Bobby Bukowski,90.0,2012-04-21,Tribeca Film,English,Chris Colfer,"['Chris Colfer', 'Allison Janney', 'Christina Hendricks', 'Sarah Hyland', 'Carter Jenkins', 'Brad William Henke', 'Rebel Wilson', 'Angela Kinsey', 'Polly Bergen', 'Dermot Mulroney']",Tia Nolan,Permut Presentations,2012,0.64,1300000.0,Failure
577,Broken City,Allen Hughes,"['Randall Emmett', 'Mark Wahlberg', 'Stephen Levinson', 'Arnon Milchan', 'Teddy Schwarzman', 'Allen Hughes', 'Remington Chase', 'Brandt Andersen']",Ben Seresin,108.0,2013-01-18,20th Century Fox (United States),English,Brian Tucker,"['Mark Wahlberg', 'Russell Crowe', 'Catherine Zeta-Jones', 'Barry Pepper', 'Kyle Chandler', 'Natalie Martinez', 'Jeffrey Wright']",Cindy Mollo,"['Regency Enterprises', 'Emmett/Furla Films', 'Inferno Distribution', 'Black Bear Pictures', 'New Regency', 'Closest to the Hole Productions', 'Leverage Entertainment', 'Allen Hughes Productions', '1984 Private Defense Contractors', 'Envision Entertainment']",2013,0.5217391304347826,35000000.0,Failure
578,The Last Stand,Kim Jee-woon,Lorenzo di Bonaventura,Kim Ji-yong,105.0,2013-01-18,Lionsgate Films,English,Andrew Knauer,"['Arnold Schwarzenegger', 'Forest Whitaker', 'Johnny Knoxville', 'Rodrigo Santoro', 'Jaimie Alexander', 'Luis Guzmán', 'Eduardo Noriega', 'Peter Stormare', 'Zach Gilford', 'Genesis Rodriguez']",Steven Kemper,"['Lionsgate Films', 'di Bonaventura Pictures']",2013,0.55,45000000.0,Failure
579,Mama,Andy Muschietti,"['J. Miles Dale', 'Barbara Muschietti']",Antonio Riestra,100.0,2013-01-18,Universal Pictures,English,"['Neil Cross', 'Andy Muschietti', 'Barbara Muschietti']","['Jessica Chastain', 'Nikolaj Coster-Waldau', 'Megan Charpentier', 'Isabelle Nélisse']",Michelle Conroi,"['Toma 78', 'De Milo Productions']",2013,0.54,15000000.0,Success
580,Hansel & Gretel: Witch Hunters,Tommy Wirkola,"['Will Ferrell', 'Adam McKay', 'Kevin Messick', 'Beau Flynn']",Michael Bonvillain,88.0,2013-01-25,Paramount Pictures,English,Tommy Wirkola,"['Jeremy Renner', 'Gemma Arterton', 'Famke Janssen', 'Peter Stormare']",Jim Page,"['Metro-Goldwyn-Mayer Pictures', 'MTV Films', 'Gary Sanchez Productions', 'Flynn Picture Company']",2013,0.87,50000000.0,Success
581,John Dies at the End,Don Coscarelli,"['Brad Baruh', 'Don Coscarelli', 'Andy Meyers']",Mike Gioulakis,100.0,2012-01-23,Magnet Releasing,English,Don Coscarelli,"['Chase Williamson', 'Rob Mayes', 'Paul Giamatti', 'Clancy Brown', 'Glynn Turman', 'Doug Jones', 'Daniel Roebuck']","['Donald Milne', 'Don Coscarelli']","['Silver Sphere', 'M3 Creative', 'Touchy Feely Films']",2012,0.8,1000000.0,Failure
582,Movie 43,"['Steven Brill', 'Peter Farrelly', 'Will Graham', 'Steve Carr', 'Griffin Dunne', 'James Duffy', 'Jonathan van Tulleken', 'Elizabeth Banks', 'Patrik Forsberg', 'Brett Ratner', 'Rusty Cundieff', 'James Gunn', 'Bob Odenkirk', 'Steve Baker', 'Damon Escott']","['Charles B. Wessler', 'John Penotti', 'Peter Farrelly', 'Ryan Kavanaugh']","['Frank G. DeMarco', 'Steve Gainer', 'Matthew F. Leonetti', 'Daryn Okada', 'William Rexer', 'Mattias Rudh', 'Eric Scherbarth', 'Newton Thomas Sigel', 'Tim Suhrstedt']",94.0,2013-01-25,Relativity Media,English,"['Steve Baker', 'Ricky Blitt', 'Will Carlough', 'Tobias Carlson', 'Jacob Fleisher', 'Patrik Forsberg', 'Will Graham', 'James Gunn', 'Claes Kjellstrom', 'Jack Kukoda', 'Bob Odenkirk', ""Bill O'Malley"", 'Matthew Alec Portenoy', 'Greg Pritikin', 'Rocky Russo', 'Olle Sarri', 'Elizabeth Wright Shapiro', 'Jeremy Sosenko', 'Jonathan van Tulleken', 'Jonas Wittenmark']","['Elizabeth Banks', 'Kristen Bell', 'Halle Berry', 'Leslie Bibb', 'Kate Bosworth', 'Gerard Butler', 'Josh Duhamel', 'Anna Faris', 'Richard Gere', 'Terrence Howard', 'Hugh Jackman', 'Johnny Knoxville', 'Justin Long', 'Christopher Mintz-Plasse', 'Chloë Grace Moretz', 'Chris Pratt', 'Liev Schreiber', 'Emma Stone', 'Jason Sudeikis', 'Uma Thurman', 'Naomi Watts', 'Kate Winslet']","['Debra Chiate', 'Patrick J. Don Vito', 'Suzy Elmiger', 'Mark Helfrich', 'Craig Herring', 'Myron Kerstein', 'Jonathan van Tulleken', 'Joe Randall-Cutler', 'Sam Seig', 'Michael P. Shawver', 'Cara Silverman', 'Sandy Solowitz', 'Håkan Wärn', 'Paul Zucker']","['Rogue', 'Virgin Produced', 'GreeneStreet Films', 'Charles B. Wessler Entertainment']",2013,0.59,6000000.0,Success
583,Parker,Taylor Hackford,"['Les Alexander', 'Steven Chasman', 'Taylor Hackford', 'Sidney Kimmel', 'Jonathan Mitchell']",J. Michael Muro,118.0,2013-01-24,FilmDistrict,English,John J. McLaughlin,"['Jason Statham', 'Jennifer Lopez', 'Michael Chiklis', 'Bobby Cannavale', 'Nick Nolte']",Mark Warner,"['Incentive Filmed Entertainment', 'Sierra Pictures', 'Sidney Kimmel Entertainment', 'Current Entertainment', 'Alexander/Mitchell', 'Anvil Films']",2013,0.726027397260274,31000000.0,Failure
584,Bullet to the Head,Walter Hill,"['Alexandra Milchan', 'Alfred Gough', 'Miles Millar', 'Courtney Solomon', 'Kevin King-Templeton']",Lloyd Ahern II,91.0,2012-11-14,Warner Bros. Pictures,English,Alessandro Camon,"['Sylvester Stallone', 'Sung Kang', 'Sarah Shahi', 'Adewale Akinnuoye-Agbaje', 'Christian Slater', 'Jason Momoa']",Tim Alverson,"['Dark Castle Entertainment', 'IM Global', 'Millar Gough Ink', 'Emjag', 'After Dark Films']",2012,0.5816326530612245,55000000.0,Failure
585,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,"['Paul Brooks', ' ', 'Scott Niemeyer']",Yaron Levy,100.0,2013-02-01,Lionsgate,English,David Coggeshall,"['Abigail Spencer', 'Chad Michael Murray', 'Katee Sackhoff', 'Emily Alyn Lind', 'Cicely Tyson']","['Tom Elkins', 'Elliot Greenberg']",Gold Circle Films,2013,0.3908045977011494,8000000.0,Failure
586,Stand Up Guys,Fisher Stevens,"['Sidney Kimmel', 'Tom Rosenberg', 'Gary Lucchesi', 'Jim Tauber']",Michael Grady,95.0,2012-10-12,Lionsgate,English,Noah Haidle,"['Al Pacino', 'Christopher Walken', 'Alan Arkin', 'Julianna Margulies']",Mark Livolsi,"['Sidney Kimmel Entertainment', 'Lakeshore Entertainment']",2012,0.87,15000000.0,Failure
587,Warm Bodies,Jonathan Levine,"['David Hoberman', 'Todd Lieberman', 'Bruna Papandrea']",Javier Aguirresarobe,98.0,2013-01-16,Summit Entertainment (through Lionsgate ),English,Jonathan Levine,"['Nicholas Hoult', 'Teresa Palmer', 'Rob Corddry', 'Dave Franco', 'Lio Tipton', 'Cory Hardrict', 'John Malkovich']",Nancy Richardson,"['Make Movies', 'Mandeville Films']",2013,0.5714285714285714,35000000.0,Success
588,A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,"['Roman Coppola', 'Youree Henley']",Nick Beal,86.0,2012-11-15,"['A24', 'FilmBuff']",English,Roman Coppola,"['Charlie Sheen', 'Katheryn Winnick', 'Bill Murray', 'Jason Schwartzman', 'Patricia Arquette', 'Mary Elizabeth Winstead', 'Fabianne Therese']",Robert Schafer,"['American Zoetrope', 'The Directors Bureau']",2012,0.4285714285714285,12000000.0,Failure
589,Identity Thief,Seth Gordon,"['Scott Stuber', 'Pamela Abdy', 'Jason Bateman']",Javier Aguirresarobe,111.0,2013-02-08,Universal Pictures,English,Craig Mazin,"['Jason Bateman', 'Melissa McCarthy', 'Jon Favreau', 'Amanda Peet', ""Tip 'T.I.' Harris"", 'Genesis Rodriguez', 'Morris Chestnut', 'John Cho', 'Robert Patrick', 'Eric Stonestreet']",Peter Teschner,"['Relativity Media', 'Scott Stuber Productions', 'Aggregate Films', 'Bluegrass Films']",2013,0.5882352941176471,35000000.0,Success
590,Side Effects,Steven Soderbergh,"['Lorenzo di Bonaventura', 'Gregory Jacobs', 'Scott Z. Burns']",Peter Andrews,106.0,2013-02-08,Open Road Films,English,Scott Z. Burns,"['Jude Law', 'Rooney Mara', 'Catherine Zeta-Jones', 'Channing Tatum']",Mary Ann Bernard,"['Endgame Entertainment', 'FilmNation Entertainment', 'Di Bonaventura Pictures']",2013,0.5625,30000000.0,Failure
591,Beautiful Creatures,Richard LaGravenese,"['Erwin Stoff', 'Andrew A. Kosove', 'Broderick Johnson', 'Molly Smith', 'David Valdes']",Philippe Rousselot,124.0,2013-01-19,"['Warner Bros. Pictures (United States)', 'Summit Entertainment (International)']",English,Richard LaGravenese,"['Alden Ehrenreich', 'Alice Englert', 'Jeremy Irons', 'Viola Davis', 'Emmy Rossum', 'Thomas Mann', 'Emma Thompson']",David Moritz,"['Alcon Entertainment', '3 Arts Entertainment', 'Belle Pictures']",2013,0.6451612903225806,50000000.0,Failure
592,A Good Day to Die Hard,John Moore,"['Alex Young', 'Wyck Godfrey']",Jonathan Sela,97.0,2013-01-31,20th Century Fox,English,Skip Woods,"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Yulia Snigir', 'Rasha Bukvić', 'Cole Hauser', 'Amaury Nolasco', 'Sergei Kolesnikov']",Dan Zimmerman,"['Giant Pictures', 'TSG Entertainment', 'Temple Hill Entertainment']",2013,0.61,92000000.0,Success
593,Safe Haven,Lasse Hallström,"['Marty Bowen', 'Chad Freet', 'Wyck Godfrey', 'Ryan Kavanaugh']",Terry Stacey,115.0,2013-02-14,Relativity Media,English,"['Gage Lansky', 'Dana Stevens']","['Josh Duhamel', 'Julianne Hough', 'Cobie Smulders', 'David Lyons']",Andrew Mondshein,"['Relativity Media', 'Temple Hill Entertainment']",2013,0.81,28000000.0,Success
595,Dark Skies,Scott Stewart,"['Jason Blum', 'Couper Samuelson', 'Jeanette Brill']",David Boyd,97.0,2013-02-22,"['Dimension Films', 'The Weinstein Company']",English,Scott Stewart,"['Keri Russell', 'Josh Hamilton', 'Dakota Goyo', 'J. K. Simmons']",Peter Gvodas,"['Dimension Films', 'Alliance Films', 'IM Global', 'Blumhouse Productions', 'Robotproof']",2013,0.61,3500000.0,Success
596,Snitch,Ric Roman Waugh,"['Dwayne Johnson', 'Nigel Sinclair', 'Matt Jackson', 'Jonathan King', 'Dany Garcia', 'Alex Brunner', 'Tobin Armbrust', 'Pargat Gill']",Dana Gonzales,112.0,2013-02-22,Lionsgate,English,"['Justin Haythe', 'Ric Roman Waugh']","['Dwayne Johnson', 'Barry Pepper', 'Jon Bernthal', 'Michael K. Williams', 'Melina Kanakaredes', 'Nadine Velazquez', 'Rafi Gavron', 'David Harbour', 'Benjamin Bratt', 'Susan Sarandon']",Jonathan Chibnall,"['Summit Entertainment', 'Exclusive Media', 'Participant Media', 'Image Nation']",2013,0.77,25000000.0,Success
597,21 & Over,"['Jon Lucas', 'Scott Moore']","['David Hoberman', 'Ryan Kavanaugh', 'Todd Lieberman']",Terry Stacey,93.0,2013-03-01,Relativity Media,English,"['Jon Lucas', 'Scott Moore']","['Miles Teller', 'Skylar Astin', 'Justin Chon', 'Sarah Wright']",John Refoua,"['Virgin Produced', 'Mandeville Films', 'SkyLand Entertainment']",2013,0.57,10000000.0,Success
598,Jack the Giant Slayer,Bryan Singer,"['Neal H. Moritz', 'David Dobkin', 'Bryan Singer', 'Patrick McCormick', 'Ori Marmur']",Newton Thomas Sigel,114.0,2013-02-26,Warner Bros. Pictures,English,"['Darren Lemke', 'Christopher McQuarrie', 'Dan Studney']","['Nicholas Hoult', 'Eleanor Tomlinson', 'Stanley Tucci', 'Ian McShane', 'Bill Nighy', 'Ewan McGregor']","['John Ottman', 'Bob Ducsay']","['New Line Cinema', 'Legendary Pictures', 'Original Film', 'Big Kid Pictures', 'Bad Hat Harry Productions']",2013,0.71,185000000.0,Failure
599,The Last Exorcism Part II,Ed Gass-Donnelly,"['Eric Newman', 'Eli Roth', 'Marc Abraham', 'Thomas A. Bliss']",Brendan Steacy,88.0,2013-02-28,CBS Films,English,"['Damien Chazelle', 'Ed Gass-Donnelly']","['Ashley Bell', 'Julia Garner', 'Spencer Treat Clark', 'David Jensen', 'Tarra Riggs', 'Louis Herthum']",Ed Gass-Donnelly,"['Arcade Pictures', 'Strike Entertainment', 'StudioCanal', 'Anton Capital Entertainment']",2013,0.49,5000000.0,Success
600,Stoker,Park Chan-wook,"['Ridley Scott', 'Tony Scott', 'Michael Costigan']",Chung-hoon Chung,99.0,2013-01-20,Fox Searchlight Pictures,English,Wentworth Miller,"['Mia Wasikowska', 'Matthew Goode', 'Nicole Kidman', 'Dermot Mulroney', 'Jacki Weaver']",Nicolas De Toth,"['Indian Paintbrush', 'Scott Free Productions']",2013,0.7,12000000.0,Failure
